tagname,body
"r.java-file","R.java is a file which holds references to project resources. It is automatically generated by the Android Development Toolkit during project compilation."
"database-administration","the aspects of database usage not directly related to the insertion and extraction of information, such as security, configuration and performance finetuning"
"low-level","In terms of a computer system, low-level refers to the components that appears lower in the stack of system layers. "
"system.diagnostics","System.Diagnostics is a namespace of the .NET framework. It provides classes that allow you to interact with system processes, event logs, and performance counters."
"acs","ACS is short for Windows Azure Access Control Service"
"com+","COM+ (Component Services) is a runtime and set of services that is an evolution of Microsoft Component Object Model (COM) and Microsoft Transaction Server (MTS)."
"pe","The Portable Executable (PE) format, a modification of COFF, is the file format for executable binaries under the Windows operating system. The PE format is easily recognized by its ""MZ DOS header"" (0x4d 0x5a, ""MZ"" for ""Mark Zbikowski"")."
"separator","A character that separates parts of a string. "
"coordinate-systems","Coordinate systems use one or more numbers, or coordinates, to uniquely determine the position of a point or geometry in space."
"bezier","Bézier curve is a parametric curve frequently used in computer graphics and related fields. Generalizations of Bézier curves to higher dimensions are called Bézier surfaces, of which the Bézier triangle is a special case"
"ipad-splitview",""
"bios","The BIOS software is built into the PC, and is the first code run by a PC when powered on ('boot firmware'). The primary function of the BIOS is to load and start an operating system."
"removechild","removes and returns a child node from the DOM"
"netbeans-platform","The NetBeans Platform is a cross-platform desktop application framework implemented in Java."
"bamboo","Bamboo is a continuous integration and deployment server from Atlassian, the makers of JIRA, Confluence and Crowd."
"mq","The ambiguous 'mq' tag refers to variously to message queuing in general or any of several implementations of messaging middleware with ""MQ"" in the name."
"minimum","Minimum refers to the value in a collection of values that is the least or smallest."
"icu","the International Components for Unicode, cross platform open source C/C++ and Java libraries for Unicode and globalization support"
"recv","BSD Sockets function used for receiving data from a TCP socket."
"fluentvalidation","Fluent Validation is an ASP.NET MVC integrated validation framework that allows the developer to set validation rules using expressions. It is testable and completely compatible with the inversion of control (dependency injection) pattern and TDD (test-driven development) technique."
